summary_data,0.0460970128855,-4.78774138717e-15,0.0439708396618,1526340600,0.0438551944444,1533600000,0.048644,0.00446262551134,ms,0.000183244237759,0.0437513319915,1533598200,0.0437097434737,2688.0,1344.0,0.0434486472857,0.0585073041347,1800,0.0438551712794,0.000261096188031
x_data_observed,1526340600000,1800000,area,Observed
Observed,2018-05-14 20:30:00,0.0438551944444,0,0
Observed,2018-05-14 21:00:00,0.0438551944444,0,0
Observed,2018-05-14 21:30:00,0.0438551944444,0,0
Observed,2018-05-14 22:00:00,0.0438551944444,0,0
Observed,2018-05-14 22:30:00,0.0438551944444,0,0
Observed,2018-05-14 23:00:00,0.0438551944444,0,0
Observed,2018-05-14 23:30:00,0.0438551944444,0,0
Observed,2018-05-15 00:00:00,0.0438551944444,0,0
Observed,2018-05-15 00:30:00,0.0438551944444,0,0
Observed,2018-05-15 01:00:00,0.0438551944444,0,0
Observed,2018-05-15 01:30:00,0.0438551944444,0,0
Observed,2018-05-15 02:00:00,0.0438551944444,0,0
Observed,2018-05-15 02:30:00,0.0438551944444,0,0
Observed,2018-05-15 03:00:00,0.0438551944444,0,0
Observed,2018-05-15 03:30:00,0.0438551944444,0,0
Observed,2018-05-15 04:00:00,0.0438551944444,0,0
Observed,2018-05-15 04:30:00,0.0438551944444,0,0
Observed,2018-05-15 05:00:00,0.0438551944444,0,0
Observed,2018-05-15 05:30:00,0.0438551944444,0,0
Observed,2018-05-15 06:00:00,0.0438551944444,0,0
Observed,2018-05-15 06:30:00,0.0438551944444,0,0
Observed,2018-05-15 07:00:00,0.0438551944444,0,0
Observed,2018-05-15 07:30:00,0.0438551944444,0,0
Observed,2018-05-15 08:00:00,0.0438551944444,0,0
Observed,2018-05-15 08:30:00,0.0438551944444,0,0
Observed,2018-05-15 09:00:00,0.0438551944444,0,0
Observed,2018-05-15 09:30:00,0.0438551944444,0,0
Observed,2018-05-15 10:00:00,0.0438551944444,0,0
Observed,2018-05-15 10:30:00,0.0438551944444,0,0
Observed,2018-05-15 11:00:00,0.0438551944444,0,0
Observed,2018-05-15 11:30:00,0.0438551944444,0,0
Observed,2018-05-15 12:00:00,0.0438551944444,0,0
Observed,2018-05-15 12:30:00,0.0438551944444,0,0
Observed,2018-05-15 13:00:00,0.0438551944444,0,0
Observed,2018-05-15 13:30:00,0.0438551944444,0,0
Observed,2018-05-15 14:00:00,0.0438551944444,0,0
Observed,2018-05-15 14:30:00,0.0438551944444,0,0
Observed,2018-05-15 15:00:00,0.0438551944444,0,0
Observed,2018-05-15 15:30:00,0.0438551944444,0,0
Observed,2018-05-15 16:00:00,0.0438551944444,0,0
Observed,2018-05-15 16:30:00,0.0438551944444,0,0
Observed,2018-05-15 17:00:00,0.0438551944444,0,0
Observed,2018-05-15 17:30:00,0.0438551944444,0,0
Observed,2018-05-15 18:00:00,0.0438551944444,0,0
Observed,2018-05-15 18:30:00,0.0438551944444,0,0
Observed,2018-05-15 19:00:00,0.0438551944444,0,0
Observed,2018-05-15 19:30:00,0.0438551944444,0,0
Observed,2018-05-15 20:00:00,0.0438551944444,0,0
Observed,2018-05-15 20:30:00,0.0438551944444,0,0
Observed,2018-05-15 21:00:00,0.0438551944444,0,0
Observed,2018-05-15 21:30:00,0.0438551944444,0,0
Observed,2018-05-15 22:00:00,0.0438551944444,0,0
Observed,2018-05-15 22:30:00,0.0438551944444,0,0
Observed,2018-05-15 23:00:00,0.0438551944444,0,0
Observed,2018-05-15 23:30:00,0.0438551944444,0,0
Observed,2018-05-16 00:00:00,0.0438551944444,0,0
Observed,2018-05-16 00:30:00,0.0438551944444,0,0
Observed,2018-05-16 01:00:00,0.0438551944444,0,0
Observed,2018-05-16 01:30:00,0.0438551944444,0,0
Observed,2018-05-16 02:00:00,0.0438551944444,0,0
Observed,2018-05-16 02:30:00,0.0438551944444,0,0
Observed,2018-05-16 03:00:00,0.0438551944444,0,0
Observed,2018-05-16 03:30:00,0.0438551944444,0,0
Observed,2018-05-16 04:00:00,0.0438551944444,0,0
Observed,2018-05-16 04:30:00,0.0438551944444,0,0
Observed,2018-05-16 05:00:00,0.0438551944444,0,0
Observed,2018-05-16 05:30:00,0.0438551944444,0,0
Observed,2018-05-16 06:00:00,0.0438551944444,0,0
Observed,2018-05-16 06:30:00,0.0438551944444,0,0
Observed,2018-05-16 07:00:00,0.0438551944444,0,0
Observed,2018-05-16 07:30:00,0.0438551944444,0,0
Observed,2018-05-16 08:00:00,0.0438551944444,0,0
Observed,2018-05-16 08:30:00,0.0438551944444,0,0
Observed,2018-05-16 09:00:00,0.0438551944444,0,0
Observed,2018-05-16 09:30:00,0.0438551944444,0,0
Observed,2018-05-16 10:00:00,0.0438551944444,0,0
Observed,2018-05-16 10:30:00,0.0438551944444,0,0
